id,year,ncessch,leaid,grade,race,sex,enrollment,fips,extracted_at
1,2022,060000107534,0600001,4,99,99,60,6,2026-03-29
2,2022,060000210346,0600002,4,99,99,2,6,2026-03-29
3,2022,060000310347,0600003,4,99,99,14,6,2026-03-29
4,2022,060000608773,0600006,4,99,99,33,6,2026-03-29
5,2022,060000608775,0600006,4,99,99,52,6,2026-03-29
6,2022,060000608776,0600006,4,99,99,48,6,2026-03-29
7,2022,060000612911,0600006,4,99,99,50,6,2026-03-29
8,2022,060000710348,0600007,4,99,99,18,6,2026-03-29
9,2022,060000908780,0600009,4,99,99,15,6,2026-03-29
10,2022,060001109068,0600011,4,99,99,8,6,2026-03-29
11,2022,060001112763,0600011,4,99,99,10,6,2026-03-29
12,2022,060001209206,0600012,4,99,99,11,6,2026-03-29
13,2022,060001300805,0600013,4,99,99,63,6,2026-03-29
14,2022,060001303571,0600013,4,99,99,64,6,2026-03-29
15,2022,060001308256,0600013,4,99,99,81,6,2026-03-29
16,2022,060001308763,0600013,4,99,99,52,6,2026-03-29
17,2022,060001308764,0600013,4,99,99,72,6,2026-03-29
18,2022,060001309069,0600013,4,99,99,62,6,2026-03-29
19,2022,060001309070,0600013,4,99,99,77,6,2026-03-29
20,2022,060001310270,0600013,4,99,99,47,6,2026-03-29
21,2022,060001310575,0600013,4,99,99,65,6,2026-03-29
22,2022,060001311009,0600013,4,99,99,48,6,2026-03-29
23,2022,060001312558,0600013,4,99,99,68,6,2026-03-29
24,2022,060001314465,0600013,4,99,99,0,6,2026-03-29
25,2022,060001314609,0600013,4,99,99,64,6,2026-03-29
26,2022,060001403904,0600014,4,99,99,100,6,2026-03-29
27,2022,060001407287,0600014,4,99,99,27,6,2026-03-29
28,2022,060001407295,0600014,4,99,99,138,6,2026-03-29
29,2022,060001409074,0600014,4,99,99,96,6,2026-03-29
30,2022,060001409075,0600014,4,99,99,108,6,2026-03-29
31,2022,060001409076,0600014,4,99,99,93,6,2026-03-29
32,2022,060001409078,0600014,4,99,99,97,6,2026-03-29
